"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-09-28"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 서대문구"
"읍면동 : 북가좌동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"19","서울특별시 서대문구 북가좌동","380-16","0380","0016","위산인텔리안","전세","59.9800","202409","09","23,000","0","1","2013","수색로8나길 10","202409~202509","신규","-","","","연립다세대"
"20","서울특별시 서대문구 북가좌동","310-1","0310","0001","리젠트","월세","38.7400","202409","08","19,000","25","4","2014","거북골로22길 70","202410~202610","신규","-","","","연립다세대"
"21","서울특별시 서대문구 북가좌동","289-30","0289","0030","(289-30)","월세","26.6400","202409","07","500","50","3","1997","증가로19길 22","202409~202609","신규","-","","","연립다세대"
"22","서울특별시 서대문구 북가좌동","282-11","0282","0011","조운아트빌","전세","49.5500","202409","07","22,000","0","2","2015","증가로26길 18-4","202411~202611","신규","-","","","연립다세대"
"23","서울특별시 서대문구 북가좌동","342-7","0342","0007","(342-7)","전세","30.6000","202409","07","8,000","0","-1","1993","증가로32길 5","202409~202609","신규","-","","","연립다세대"
"24","서울특별시 서대문구 북가좌동","385-27","0385","0027","녹원쉐르빌","월세","59.7600","202409","05","21,000","4","1","2001","수색로8길 8","202403~202603","갱신","-","21,000","0","연립다세대"
"25","서울특별시 서대문구 북가좌동","315-34","0315","0034","한오빌라","전세","35.3100","202409","05","14,000","0","3","1993","거북골로20길 23-13","202409~202609","갱신","-","13,000","0","연립다세대"
"26","서울특별시 서대문구 북가좌동","344-1","0344","0001","우성하이츠빌라","월세","57.0600","202409","04","17,500","30","1","1993","증가로31길 26","202411~202611","신규","-","","","연립다세대"
"27","서울특별시 서대문구 북가좌동","273-14","0273","0014","The세영","월세","29.8600","202409","04","5,000","70","5","2016","증가로28안길 51","202409~202609","신규","-","","","연립다세대"
"28","서울특별시 서대문구 북가좌동","5-30","0005","0030","은성빌라","월세","61.4400","202409","04","10,000","30","-1","1993","증가로20나길 20","202410~202610","신규","-","","","연립다세대"
"29","서울특별시 서대문구 북가좌동","5-61","0005","0061","베로니스빌","전세","60.1000","202409","03","13,980","0","-1","2008","증가로20길 60-5","202410~202610","신규","-","","","연립다세대"
"30","서울특별시 서대문구 북가좌동","316-24","0316","0024","해피하우스에이동","월세","56.5700","202409","03","2,000","90","2","2016","거북골로20길 9-5","202410~202610","신규","-","","","연립다세대"
"31","서울특별시 서대문구 북가좌동","5-14","0005","0014","효림빌리지","전세","79.8500","202409","03","28,000","0","3","2003","증가로20가길 52","202411~202611","신규","-","","","연립다세대"
"32","서울특별시 서대문구 북가좌동","336-24","0336","0024","제일그린빌","전세","79.2000","202409","02","32,000","0","4","2003","증가로32안길 62","202409~202609","갱신","사용","31,000","0","연립다세대"
"33","서울특별시 서대문구 북가좌동","3-51","0003","0051","현대벨라지오","월세","20.6200","202409","02","1,000","44","1","2012","증가로24마길 37","202408~202508","갱신","-","1,000","42","연립다세대"
"34","서울특별시 서대문구 북가좌동","370-5","0370","0005","합동맨션","월세","63.3600","202409","01","1,000","85","3","1982","거북골로21길 64","202409~202509","신규","-","","","연립다세대"
"35","서울특별시 서대문구 북가좌동","322-17","0322","0017","백명그랜드맨션","월세","82.6000","202408","31","14,000","50","4","1996","거북골로22길 49-32","202410~202610","신규","-","","","연립다세대"
"36","서울특별시 서대문구 북가좌동","351-16","0351","0016","금정빌딩","월세","59.9000","202408","30","29,000","35","5","2017","응암로 148","202410~202610","신규","-","","","연립다세대"
"37","서울특별시 서대문구 북가좌동","279-25","0279","0025","미소지움빌(279-25)","월세","21.0000","202408","30","3,000","40","4","2014","증가로28안길 9","202410~202610","신규","-","","","연립다세대"
"38","서울특별시 서대문구 북가좌동","296-17","0296","0017","(296-17)","전세","47.8700","202408","30","10,000","0","-1","2002","증가로23다길 3-4","202410~202610","신규","-","","","연립다세대"
"39","서울특별시 서대문구 북가좌동","376-16","0376","0016","(376-16)","월세","33.4400","202408","29","1,000","40","2","1988","거북골로21길 39","202409~202608","신규","-","","","연립다세대"
"40","서울특별시 서대문구 북가좌동","448-7","0448","0007","(448-7)","전세","39.9600","202408","29","12,250","0","1","1986","응암로 142-11","202410~202610","갱신","사용","12,000","0","연립다세대"
"41","서울특별시 서대문구 북가좌동","376-16","0376","0016","(376-16)","월세","33.4400","202408","29","1,000","40","2","1988","거북골로21길 39","202409~202608","신규","-","","","연립다세대"
"42","서울특별시 서대문구 북가좌동","295-37","0295","0037","한신갤러리시그니처","전세","29.5200","202408","28","21,900","0","3","2018","증가로23길 20","202409~202609","갱신","-","26,250","0","연립다세대"
"43","서울특별시 서대문구 북가좌동","347-25","0347","0025","동승빌라","월세","41.3100","202408","28","12,500","15","3","1997","불광천길 100","202410~202610","신규","-","","","연립다세대"
"44","서울특별시 서대문구 북가좌동","373-7","0373","0007","대중빌라","전세","80.1000","202408","27","28,000","0","2","2003","수색로8가길 28-4","202411~202611","신규","-","","","연립다세대"
"45","서울특별시 서대문구 북가좌동","288-3","0288","0003","두진빌라(288-3)","월세","58.8000","202408","26","1,000","80","2","2001","증가로21길 27","202409~202609","신규","-","","","연립다세대"
"46","서울특별시 서대문구 북가좌동","351-16","0351","0016","금정빌딩","월세","59.2000","202408","24","29,000","20","5","2017","응암로 148","202409~202609","갱신","-","37,000","0","연립다세대"
"47","서울특별시 서대문구 북가좌동","317-17","0317","0017","경성하이빌(에이동)","전세","49.0900","202408","24","30,000","0","3","2014","거북골로 214-8","202410~202610","신규","-","","","연립다세대"
"48","서울특별시 서대문구 북가좌동","297-3","0297","0003","지정빌라","전세","61.0900","202408","22","21,000","0","2","1997","증가로23다길 10","202410~202610","갱신","-","16,800","0","연립다세대"
"49","서울특별시 서대문구 북가좌동","289-30","0289","0030","(289-30)","전세","43.4500","202408","22","14,200","0","3","1997","증가로19길 22","202409~202609","갱신","-","4,000","45","연립다세대"
"50","서울특별시 서대문구 북가좌동","380-4","0380","0004","행복빌라","전세","36.9000","202408","22","12,000","0","2","1987","수색로8나길 18","202409~202609","신규","-","","","연립다세대"
"51","서울특별시 서대문구 북가좌동","280-5","0280","0005","미성맨션","월세","45.9600","202408","21","13,000","30","3","1994","증가로26길 19","202409~202609","신규","-","","","연립다세대"
"52","서울특별시 서대문구 북가좌동","3-73","0003","0073","세종파크빌리지(3-73)","전세","49.7700","202408","20","15,750","0","3","2007","증가로24바길 17","202408~202609","갱신","사용","15,000","0","연립다세대"
"53","서울특별시 서대문구 북가좌동","74-68","0074","0068","샬롬빌라","전세","58.3500","202408","20","21,000","0","4","1994","거북골로14라길 9","202408~202608","갱신","사용","21,000","0","연립다세대"
"54","서울특별시 서대문구 북가좌동","337-1","0337","0001","기룡하이츠(C동)","전세","54.5200","202408","19","24,000","0","2","2012","증가로30길 53","202409~202609","갱신","사용","28,000","0","연립다세대"
"55","서울특별시 서대문구 북가좌동","74-211","0074","0211","다원샤인빌","전세","51.6500","202408","19","27,700","0","2","2017","증가로17길 29-5","202410~202610","신규","-","","","연립다세대"
"56","서울특별시 서대문구 북가좌동","337-1","0337","0001","기룡하이츠(C동)","전세","54.5200","202408","19","24,000","0","2","2012","증가로30길 53","202409~202609","갱신","-","28,000","0","연립다세대"
"57","서울특별시 서대문구 북가좌동","286-9","0286","0009","호성그린뷰","월세","29.9900","202408","17","13,700","10","2","2015","증가로17길 32","202409~202609","신규","-","","","연립다세대"
"58","서울특별시 서대문구 북가좌동","286-9","0286","0009","호성그린뷰","월세","29.9900","202408","17","13,700","10","2","2015","증가로17길 32","202409~202609","신규","-","","","연립다세대"
"59","서울특별시 서대문구 북가좌동","348-18","0348","0018","한양빌라(348-18)","전세","51.6000","202408","17","20,000","0","3","2002","거북골로 221","202411~202611","신규","-","","","연립다세대"
"60","서울특별시 서대문구 북가좌동","349-32","0349","0032","신안빌라(349-32)","월세","43.2900","202408","15","1,000","60","3","1991","거북골로23길 42","202409~202609","신규","-","","","연립다세대"
"61","서울특별시 서대문구 북가좌동","340-27","0340","0027","비엘빌리지","월세","29.8200","202408","15","1,000","85","3","2016","불광천길 280-1","202408~202608","신규","-","","","연립다세대"
"62","서울특별시 서대문구 북가좌동","2-3","0002","0003","(2-3)","전세","44.8300","202408","15","18,000","0","2","2011","증가로24가길 41-6","202408~202608","갱신","-","20,000","0","연립다세대"
"63","서울특별시 서대문구 북가좌동","337-30","0337","0030","(337-30)","월세","35.7700","202408","15","500","35","-1","1987","증가로30길 29-4","202409~202609","신규","-","","","연립다세대"
"64","서울특별시 서대문구 북가좌동","3-14","0003","0014","진에쉐르","전세","50.6600","202408","14","10,500","0","4","2010","증가로12나길 97","202409~202609","갱신","-","10,500","0","연립다세대"
"65","서울특별시 서대문구 북가좌동","329-23","0329","0023","(329-23)","전세","84.3500","202408","14","30,000","0","4","2003","증가로 245-1","202410~202810","갱신","-","22,000","0","연립다세대"
"66","서울특별시 서대문구 북가좌동","340-31","0340","0031","수진에코빌","월세","13.4800","202408","13","1,000","60","4","2013","증가로32길 65","202409~202609","신규","-","","","연립다세대"
"67","서울특별시 서대문구 북가좌동","312-20","0312","0020","대영아트빌","월세","51.2000","202408","13","5,000","100","5","2017","거북골로20길 53-21","202409~202609","신규","-","","","연립다세대"
"68","서울특별시 서대문구 북가좌동","276-5","0276","0005","LG빌라(276-5)","전세","55.6500","202408","13","19,900","0","3","2008","증가로28길 22","202407~202607","갱신","사용","23,000","0","연립다세대"
"69","서울특별시 서대문구 북가좌동","313-7","0313","0007","진성위너스빌","월세","38.3400","202408","12","15,000","21","3","2014","거북골로20길 33-14","202411~202611","신규","-","","","연립다세대"
"70","서울특별시 서대문구 북가좌동","320-7","0320","0007","영동베스트빌","전세","51.7400","202408","12","23,000","0","5","2003","거북골로22길 29-10","202410~202610","신규","-","","","연립다세대"
"71","서울특별시 서대문구 북가좌동","328-14","0328","0014","다인하우스(328-14)","월세","14.6200","202408","10","500","47","3","2012","증가로29길 12","202408~202508","신규","-","","","연립다세대"
"72","서울특별시 서대문구 북가좌동","315-34","0315","0034","한오빌라","전세","35.2400","202408","10","11,450","0","3","1993","거북골로20길 23-13","202409~202609","신규","-","","","연립다세대"
"73","서울특별시 서대문구 북가좌동","3-242","0003","0242","송학빌라B","월세","62.7200","202408","10","13,500","10","3","2002","증가로24마길 36","202409~202609","신규","-","","","연립다세대"
"74","서울특별시 서대문구 북가좌동","3-242","0003","0242","송학빌라B","월세","62.7200","202408","10","13,500","10","3","2002","증가로24마길 36","202409~202609","신규","-","","","연립다세대"
"75","서울특별시 서대문구 북가좌동","340-31","0340","0031","수진에코빌","월세","21.7000","202408","09","1,000","60","3","2013","증가로32길 65","202408~202608","신규","-","","","연립다세대"
"76","서울특별시 서대문구 북가좌동","329-34","0329","0034","위산렉스빌B동","월세","29.8500","202408","08","2,000","85","4","2013","증가로29길 12-56","202409~202609","신규","-","","","연립다세대"
"77","서울특별시 서대문구 북가좌동","345-1","0345","0001","엘렌시아","월세","29.6600","202408","08","550","20","4","2016","불광천길 156","202408~202608","신규","-","","","연립다세대"
"78","서울특별시 서대문구 북가좌동","74-139","0074","0139","위산렉스빌","월세","59.8300","202408","08","5,000","100","3","2015","증가로21길 37-13","202410~202610","신규","-","","","연립다세대"
"79","서울특별시 서대문구 북가좌동","3-104","0003","0104","궁전빌라","월세","58.2000","202408","07","14,000","20","3","1991","증가로24라길 12","202409~202609","신규","-","","","연립다세대"
"80","서울특별시 서대문구 북가좌동","376-34","0376","0034","기린빌라(마동)","전세","40.8600","202408","07","12,000","0","1","1986","거북골로21길 33","202409~202609","신규","-","","","연립다세대"
"81","서울특별시 서대문구 북가좌동","312-15","0312","0015","마당빌라","전세","56.8200","202408","07","12,000","0","3","1992","거북골로20길 43-22","202408~202608","신규","-","","","연립다세대"
"82","서울특별시 서대문구 북가좌동","3-104","0003","0104","궁전빌라","월세","58.2000","202408","07","14,000","20","3","1991","증가로24라길 12","202409~202609","신규","-","","","연립다세대"
"83","서울특별시 서대문구 북가좌동","305-12","0305","0012","명진빌라","전세","40.7100","202408","06","4,000","0","-1","1991","거북골로18나길 4","202408~202608","갱신","-","4,000","0","연립다세대"
"84","서울특별시 서대문구 북가좌동","289-24","0289","0024","명남아이소빌","월세","76.5600","202408","05","20,000","60","3","2002","증가로21길 13-2","202409~202609","신규","-","","","연립다세대"
"85","서울특별시 서대문구 북가좌동","74-207","0074","0207","WJ파크빌(74-207)","월세","15.5300","202408","05","8,800","10","5","2017","증가로17길 29-4","202410~202610","신규","-","","","연립다세대"
"86","서울특별시 서대문구 북가좌동","3-51","0003","0051","현대벨라지오","월세","13.6300","202408","03","500","33","1","2012","증가로24마길 37","202408~202508","갱신","-","500","33","연립다세대"
"87","서울특별시 서대문구 북가좌동","324-45","0324","0045","임창빌라(D동)","월세","36.5800","202408","02","12,000","12","2","1986","증가로29길 30-29","202409~202609","신규","-","","","연립다세대"
"88","서울특별시 서대문구 북가좌동","489","0489","0000","DMC갤러리아","월세","26.2100","202408","02","4,700","20","4","2022","증가로32안길 14","202306~202509","갱신","-","100","46","연립다세대"
"89","서울특별시 서대문구 북가좌동","3-73","0003","0073","세종파크빌리지(3-73)","전세","42.3200","202407","30","11,500","0","5","2007","증가로24바길 17","202408~202608","갱신","-","14,700","0","연립다세대"
"90","서울특별시 서대문구 북가좌동","3-13","0003","0013","대화빌라(3-13)","전세","61.9500","202407","29","13,000","0","3","1997","증가로12나길 93","202409~202609","신규","-","","","연립다세대"
"91","서울특별시 서대문구 북가좌동","369-26","0369","0026","(369-26)","전세","40.9500","202407","29","7,000","0","1","1986","거북골로21길 36","202408~202608","신규","-","","","연립다세대"
"92","서울특별시 서대문구 북가좌동","276-5","0276","0005","LG빌라(276-5)","전세","55.6500","202407","28","19,900","0","3","2008","증가로28길 22","202407~202607","갱신","사용","23,000","0","연립다세대"
"93","서울특별시 서대문구 북가좌동","5-113","0005","0113","(5-113)","월세","54.6000","202407","27","2,000","65","-1","1986","증가로24길 22","202409~202609","신규","-","","","연립다세대"
"94","서울특별시 서대문구 북가좌동","75-106","0075","0106","미림주택(75-106)","월세","59.8400","202407","26","3,000","70","2","2004","거북골로14가길 14","202411~202611","신규","-","","","연립다세대"
"95","서울특별시 서대문구 북가좌동","328-37","0328","0037","경성하이빌(328-37)","월세","47.7900","202407","25","20,000","25","4","2011","증가로29길 20-60","202410~202610","갱신","-","28,000","0","연립다세대"
"96","서울특별시 서대문구 북가좌동","328-54","0328","0054","한결하우스","월세","24.3000","202407","25","1,000","50","4","2015","증가로29길 20-8","202407~202607","신규","-","","","연립다세대"
"97","서울특별시 서대문구 북가좌동","372-19","0372","0019","영동빌라","월세","60.7000","202407","25","13,750","10","2","1991","수색로8가길 23","202408~202608","신규","-","","","연립다세대"
"98","서울특별시 서대문구 북가좌동","383-10","0383","0010","(383-10)","월세","39.3800","202407","24","13,000","10","3","1994","수색로10길 6-2","202408~202608","신규","-","","","연립다세대"
"99","서울특별시 서대문구 북가좌동","332-8","0332","0008","청은하우스","월세","20.0300","202407","24","1,000","60","3","2012","증가로32안길 16","202408~202608","신규","-","","","연립다세대"
"100","서울특별시 서대문구 북가좌동","3-60","0003","0060","정일트윈빌A","전세","71.2200","202407","24","23,100","0","3","2002","증가로24라길 25","202408~202608","갱신","-","23,100","0","연립다세대"
"101","서울특별시 서대문구 북가좌동","376-34","0376","0034","기린빌라(마동)","전세","40.8600","202407","23","11,000","0","1","1986","거북골로21길 33","202408~202608","신규","-","","","연립다세대"
"102","서울특별시 서대문구 북가좌동","297-7","0297","0007","카리스글로리아(297-7)","전세","43.9900","202407","23","20,700","0","4","2013","증가로23길 43","202408~202608","신규","-","","","연립다세대"
"103","서울특별시 서대문구 북가좌동","297-7","0297","0007","카리스글로리아(297-7)","전세","43.9900","202407","23","20,700","0","4","2013","증가로23길 43","202408~202608","신규","-","","","연립다세대"
"104","서울특별시 서대문구 북가좌동","320-4","0320","0004","정남아트빌","월세","74.7300","202407","23","8,000","70","1","2004","거북골로22길 39-11","202409~202609","신규","-","","","연립다세대"
"105","서울특별시 서대문구 북가좌동","311-8","0311","0008","삼성캐스빌(311-8)","월세","52.3900","202407","22","13,000","45","2","2014","거북골로20길 53-6","202408~202608","신규","-","","","연립다세대"
"106","서울특별시 서대문구 북가좌동","369-18","0369","0018","선진빌라","전세","75.0400","202407","22","24,000","0","3","2002","거북골로21길 32-17","202409~202609","신규","-","","","연립다세대"
"107","서울특별시 서대문구 북가좌동","328-54","0328","0054","한결하우스","월세","19.3500","202407","21","3,000","45","3","2015","증가로29길 20-8","202407~202607","신규","-","","","연립다세대"
"108","서울특별시 서대문구 북가좌동","289-29","0289","0029","르네상스빌(289-29)","전세","57.5400","202407","21","27,500","0","2","2017","증가로17길 38","202409~202609","신규","-","","","연립다세대"
"109","서울특별시 서대문구 북가좌동","319-16","0319","0016","충우","전세","64.1500","202407","20","20,000","0","4","2001","거북골로22길 29-5","202409~202609","신규","-","","","연립다세대"
"110","서울특별시 서대문구 북가좌동","285-1","0285","0001","수이빌라","월세","49.7300","202407","20","2,000","80","2","1994","증가로17길 3","202408~202608","신규","-","","","연립다세대"
"111","서울특별시 서대문구 북가좌동","340-31","0340","0031","수진에코빌","월세","30.8800","202407","19","1,000","70","3","2013","증가로32길 65","202408~202608","신규","-","","","연립다세대"
"112","서울특별시 서대문구 북가좌동","340-31","0340","0031","수진에코빌","월세","30.8800","202407","19","1,000","70","3","2013","증가로32길 65","202408~202608","신규","-","","","연립다세대"
"113","서울특별시 서대문구 북가좌동","340-7","0340","0007","IS빌리지","월세","55.0700","202407","18","24,000","30","4","2014","증가로32길 49-4","202408~202608","신규","-","","","연립다세대"
"114","서울특별시 서대문구 북가좌동","347-36","0347","0036","에코빌","월세","34.7000","202407","17","17,700","30","2","2018","거북골로24길 17","202408~202608","신규","-","","","연립다세대"
"115","서울특별시 서대문구 북가좌동","376-34","0376","0034","기린빌라(마동)","전세","42.0600","202407","16","12,000","0","-1","1986","거북골로21길 33","202408~202608","신규","-","","","연립다세대"
"116","서울특별시 서대문구 북가좌동","294-29","0294","0029","카리스글로리아(294-29)","월세","54.4700","202407","15","22,000","20","5","2015","증가로23나길 10","202409~202609","신규","-","","","연립다세대"
"117","서울특별시 서대문구 북가좌동","5-21","0005","0021","글로리빌라(나동)","월세","26.6400","202407","13","500","45","-1","1995","증가로20나길 15","202407~202607","신규","-","","","연립다세대"
"118","서울특별시 서대문구 북가좌동","329-14","0329","0014","빌리브케슬","월세","42.4800","202407","13","5,000","60","4","2018","증가로29길 12-16","202409~202609","신규","-","","","연립다세대"
"119","서울특별시 서대문구 북가좌동","3-54","0003","0054","에코더블레스","전세","59.8500","202407","13","20,000","0","6","2015","증가로24마길 47","202408~202608","신규","-","","","연립다세대"
"120","서울특별시 서대문구 북가좌동","279-25","0279","0025","미소지움빌(279-25)","전세","16.3800","202407","13","7,600","0","4","2014","증가로28안길 9","202407~202607","신규","-","","","연립다세대"
"121","서울특별시 서대문구 북가좌동","321-19","0321","0019","영주아트빌(321-19)","월세","40.4300","202407","13","3,000","75","2","2013","거북골로24길 40","202408~202608","신규","-","","","연립다세대"
"122","서울특별시 서대문구 북가좌동","337-6","0337","0006","기룡하이츠(A,B동)","월세","51.8600","202407","13","20,900","20","4","2012","증가로30길 37","202409~202609","신규","-","","","연립다세대"
"123","서울특별시 서대문구 북가좌동","277-28","0277","0028","우성팰리스(277-28)","월세","28.6100","202407","13","13,100","15","3","2011","증가로28안길 26-6","202409~202609","신규","-","","","연립다세대"
"124","서울특별시 서대문구 북가좌동","3-242","0003","0242","송학빌라B","월세","62.7200","202407","13","5,000","60","4","2002","증가로24마길 36","202408~202608","신규","-","","","연립다세대"
"125","서울특별시 서대문구 북가좌동","3-51","0003","0051","현대벨라지오","월세","20.0300","202407","12","1,000","56","2","2012","증가로24마길 37","202407~202607","신규","-","","","연립다세대"
"126","서울특별시 서대문구 북가좌동","340-33","0340","0033","동하아트빌(340-33)","전세","29.8900","202407","12","18,000","0","2","2017","증가로32길 59","202408~202608","신규","-","","","연립다세대"
"127","서울특별시 서대문구 북가좌동","340-33","0340","0033","동하아트빌(340-33)","전세","29.8900","202407","12","18,000","0","2","2017","증가로32길 59","202408~202608","신규","-","","","연립다세대"
"128","서울특별시 서대문구 북가좌동","366-9","0366","0009","한양빌라(366-9)","월세","30.7900","202407","12","10,000","25","5","2003","거북골로21길 10-10","202408~202608","신규","-","","","연립다세대"
"129","서울특별시 서대문구 북가좌동","3-49","0003","0049","경성맨션","전세","81.4600","202407","11","22,428","0","3","2000","증가로24마길 31","202407~202607","갱신","-","24,900","0","연립다세대"
"130","서울특별시 서대문구 북가좌동","296-16","0296","0016","LG타운(296-16)","월세","63.8300","202407","11","22,500","25","4","2006","증가로23다길 5","202409~202609","신규","-","","","연립다세대"
"131","서울특별시 서대문구 북가좌동","322-3","0322","0003","LG타운(322-3)","월세","47.5500","202407","11","17,100","5","3","2006","거북골로22길 57","202408~202608","갱신","사용","17,300","0","연립다세대"
"132","서울특별시 서대문구 북가좌동","3-49","0003","0049","경성맨션","전세","81.4600","202407","11","24,900","0","3","2000","증가로24마길 31","202407~202607","갱신","-","28,800","0","연립다세대"
"133","서울특별시 서대문구 북가좌동","282-41","0282","0041","아뜨리움(282-41)","월세","29.8200","202407","10","12,500","16","5","2012","증가로24길 3","202408~202608","신규","-","","","연립다세대"
"134","서울특별시 서대문구 북가좌동","282-41","0282","0041","아뜨리움(282-41)","월세","29.8200","202407","10","12,500","16","5","2012","증가로24길 3","202408~202608","신규","-","","","연립다세대"
"135","서울특별시 서대문구 북가좌동","331-27","0331","0027","아름채","월세","34.7400","202407","09","3,000","60","3","2014","증가로32안길 23-1","202407~202607","신규","-","","","연립다세대"
"136","서울특별시 서대문구 북가좌동","380-22","0380","0022","프라임빌","전세","67.8000","202407","09","22,000","0","2","2007","수색로8나길 4","202407~202607","신규","-","","","연립다세대"
"137","서울특별시 서대문구 북가좌동","325-40","0325","0040","(325-40)","월세","14.5500","202407","06","1,000","60","3","2022","증가로29길 20-39","202407~202607","신규","-","","","연립다세대"
"138","서울특별시 서대문구 북가좌동","346-2","0346","0002","영재하이빌","전세","62.2800","202407","06","27,800","0","2","2005","거북골로24길 37-8","202409~202609","신규","-","","","연립다세대"
